Title,Code,Link
"HISTORY OF THE GLOBAL ECONOMY: COMPETITION, TRADE AND DEVELOPMENT ",30649,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30649&anno=2024&ric_cdl=x&IdPag=6896
INSTITUTIONS AND GLOBAL STRATEGY ,30576,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30576&anno=2024&ric_cdl=x&IdPag=6896
INTERNATIONAL BUSINESS AND MANAGEMENT ,30215,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30215&anno=2024&ric_cdl=x&IdPag=6896
INTERNATIONAL POPULATION DYNAMICS AND CHALLENGES ,30593,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30593&anno=2024&ric_cdl=x&IdPag=6896
INTERNATIONAL RELATIONS ,30196,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30196&anno=2024&ric_cdl=x&IdPag=6896
INTRODUCTION TO BLOCKCHAIN ,30518,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30518&anno=2024&ric_cdl=x&IdPag=6896
INTRODUCTION TO MANAGEMENT CONSULTING ,30206,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30206&anno=2024&ric_cdl=x&IdPag=6896
ITALIAN FIRMS IN HISTORICAL PERSPECTIVE ,30198,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30198&anno=2024&ric_cdl=x&IdPag=6896
LEADERSHIP SKILLS ,30262,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30262&anno=2024&ric_cdl=x&IdPag=6896
LEAN MANAGEMENT ,30211,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30211&anno=2024&ric_cdl=x&IdPag=6896
MANAGEMENT INFORMATION SYSTEM ,30212,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30212&anno=2024&ric_cdl=x&IdPag=6896
MANAGEMENT OF FASHION COMPANIES ,30221,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30221&anno=2024&ric_cdl=x&IdPag=6896
MANAGEMENT OF INTERNATIONAL AND SUPRANATIONAL ORGANIZATIONS ,30193,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30193&anno=2024&ric_cdl=x&IdPag=6896
MANAGING CREATIVITY ,30297,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30297&anno=2024&ric_cdl=x&IdPag=6896
MANAGING THE GREEN TRANSITION: THE ROLE OF UTILITIES ,30575,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30575&anno=2024&ric_cdl=x&IdPag=6896
MARKETING AND CITIZEN RELATIONSHIP MANAGEMENT ,30229,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30229&anno=2024&ric_cdl=x&IdPag=6896
MARKETING COMMUNICATION ,30223,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30223&anno=2024&ric_cdl=x&IdPag=6896
MARKETING RESEARCH ,30228,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30228&anno=2024&ric_cdl=x&IdPag=6896
MEDIA INDUSTRIES: THEORY AND PRACTICE ,30388,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30388&anno=2024&ric_cdl=x&IdPag=6896
MONETARY AND FISCAL POLICY: CURRENT CHALLENGES ,30510,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30510&anno=2024&ric_cdl=x&IdPag=6896
NEW PRODUCT DEVELOPMENT AND OPEN INNOVATION ,30222,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30222&anno=2024&ric_cdl=x&IdPag=6896
NEW PRODUCTS AND PRODUCT MANAGEMENT ,30259,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30259&anno=2024&ric_cdl=x&IdPag=6896
ORGANIZATION AND HUMAN RESOURCE IN PUBLIC ADMINISTRATION ,30194,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30194&anno=2024&ric_cdl=x&IdPag=6896
PERSONAL SELLING ,30230,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30230&anno=2024&ric_cdl=x&IdPag=6896
PRINCIPLES OF E-MARKETING AND E-COMMERCE ,30498,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30498&anno=2024&ric_cdl=x&IdPag=6896
PSYCHOLOGY OF MARKETING ,30295,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30295&anno=2024&ric_cdl=x&IdPag=6896
RISK MANAGEMENT WITH DERIVATIVES ,30184,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30184&anno=2024&ric_cdl=x&IdPag=6896
SHARING ECONOMY AND SMART CITIES MANAGEMENT ,30445,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30445&anno=2024&ric_cdl=x&IdPag=6896
SMALL BUSINESS MARKETING ,30225,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30225&anno=2024&ric_cdl=x&IdPag=6896
SOCIAL NETWORKS IN ORGANIZATIONS ,30600,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30600&anno=2024&ric_cdl=x&IdPag=6896
SOCIOLOGY ,30197,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30197&anno=2024&ric_cdl=x&IdPag=6896
STRATEGIC MANAGEMENT FOR SMALL AND MEDIUM ENTERPRISES ,30213,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30213&anno=2024&ric_cdl=x&IdPag=6896
SUSTAINABILITY AND CORPORATE COMMUNICATION ,30598,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30598&anno=2024&ric_cdl=x&IdPag=6896
SUSTAINABLE OPERATIONS MANAGEMENT ,30214,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30214&anno=2024&ric_cdl=x&IdPag=6896
THE MICROSTRUCTURE OF FINANCIAL MARKETS ,30181,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30181&anno=2024&ric_cdl=x&IdPag=6896
THEORETICAL COMPUTER SCIENCE ,30516,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30516&anno=2024&ric_cdl=x&IdPag=6896
TOPICS IN COMPUTATIONAL MODELLING: FROM INFORMATION THEORY TO EVOLUTIONARY MODELS ,30592,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30592&anno=2024&ric_cdl=x&IdPag=6896
VENTURE AND DEVELOPMENT CAPITAL ,30186,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30186&anno=2024&ric_cdl=x&IdPag=6896
